from_slug,from_location,to_slug,to_location,distance_km,travel_time
kochi-airport,Kochi Airport,kanjirappally,Kanjirappally,100,2.30 Hours
kochi-airport,Kochi Airport,vaikom,Vaikom,60,1.30 Hours
kochi-airport,Kochi Airport,ettumanoor,Ettumanoor,75,2.00 Hours
kochi-airport,Kochi Airport,pathanamthitta,Pathanamthitta,130,3.15 Hours
kochi-airport,Kochi Airport,thiruvalla,Thiruvalla,115,3.00 Hours
kochi-airport,Kochi Airport,adoor,Adoor,140,3.30 Hours
kochi-airport,Kochi Airport,kozhencherry,Kozhencherry,135,3.15 Hours
kochi-airport,Kochi Airport,ranni,Ranni,130,3.15 Hours
kochi-airport,Kochi Airport,alleppey,Alleppey,85,2.15 Hours
kochi-airport,Kochi Airport,cherthala,Cherthala,65,1.45 Hours
kochi-airport,Kochi Airport,haripad,Haripad,115,2.45 Hours
kochi-airport,Kochi Airport,kayamkulam,Kayamkulam,130,3.15 Hours
kochi-airport,Kochi Airport,mavelikara,Mavelikara,125,3.00 Hours
kochi-airport,Kochi Airport,kollam,Kollam,165,4.00 Hours
kochi-airport,Kochi Airport,karunagappally,Karunagappally,140,3.30 Hours
kochi-airport,Kochi Airport,kottarakkara,Kottarakkara,160,4.00 Hours
kochi-airport,Kochi Airport,punalur,Punalur,175,4.30 Hours
kochi-airport,Kochi Airport,trivandrum,Trivandrum,225,5.30 Hours
kochi-airport,Kochi Airport,attingal,Attingal,195,4.45 Hours
kochi-airport,Kochi Airport,varkala,Varkala,195,5.00 Hours
kochi-airport,Kochi Airport,nedumangad,Nedumangad,230,5.45 Hours
kochi-airport,Kochi Airport,neyyattinkara,Neyyattinkara,245,6.15 Hours
kochi-airport,Kochi Airport,idukki,Idukki,115,3.15 Hours
kochi-airport,Kochi Airport,thodupuzha,Thodupuzha,55,1.30 Hours
kochi-airport,Kochi Airport,adimali,Adimali,80,2.30 Hours
kochi-airport,Kochi Airport,munnar,Munnar,110,3.30 Hours
kochi-airport,Kochi Airport,kattappana,Kattappana,140,4.00 Hours
kochi-airport,Kochi Airport,nedumkandam,Nedumkandam,150,4.15 Hours
kochi-airport,Kochi Airport,peermade,Peermade,125,3.30 Hours
kochi-airport,Kochi Airport,kumily,Kumily,145,4.15 Hours
kochi-airport,Kochi Airport,kumarakom,Kumarakom,80,2.15 Hours
kochi-airport,Kochi Airport,athirappilly,Athirappilly Waterfalls,40,1.15 Hours
kochi-airport,Kochi Airport,vazhachal,Vazhachal Waterfalls,45,1.25 Hours
kochi-airport,Kochi Airport,vagamon,Vagamon,105,3.15 Hours
kochi-airport,Kochi Airport,marari-beach,Marari Beach,75,2.00 Hours
kochi-airport,Kochi Airport,kovalam,Kovalam Beach,240,6.00 Hours
kochi-airport,Kochi Airport,thekkady,Thekkady,144,4.30 Hours
kochi-airport,Kochi Airport,bekal-fort,Bekal Fort,320,8.00 Hours
kochi-airport,Kochi Airport,ponmudi,Ponmudi,245,6.30 Hours
kochi-airport,Kochi Airport,thenmala,Thenmala,185,4.45 Hours
kochi-airport,Kochi Airport,ashtamudi-lake,Ashtamudi Lake,165,4.00 Hours
kochi-airport,Kochi Airport,munroe-island,Munroe Island,170,4.15 Hours
kochi-airport,Kochi Airport,kuttanad,Kuttanad,95,2.30 Hours
kochi-airport,Kochi Airport,ilaveezhapoonchira,Ilaveezhapoonchira,85,2.30 Hours
kochi-airport,Kochi Airport,nelliyampathy,Nelliyampathy,125,3.15 Hours
kochi-airport,Kochi Airport,silent-valley,Silent Valley,150,4.00 Hours
kochi-airport,Kochi Airport,malampuzha,Malampuzha,115,2.45 Hours
kochi-airport,Kochi Airport,kanthalloor,Kanthalloor,150,4.30 Hours
kochi-airport,Kochi Airport,marayoor,Marayoor,140,4.15 Hours
kochi-airport,Kochi Airport,chinnar,Chinnar Wildlife Sanctuary,160,4.45 Hours
kochi-airport,Kochi Airport,eravikulam,Eravikulam National Park,115,3.45 Hours
kochi-airport,Kochi Airport,anamudi,Anamudi Peak,120,4.00 Hours
kochi-airport,Kochi Airport,mattupetty,Mattupetty Dam,120,3.45 Hours
kochi-airport,Kochi Airport,kundala-lake,Kundala Lake,135,4.15 Hours
kochi-airport,Kochi Airport,top-station,Top Station Munnar,145,4.30 Hours
kochi-airport,Kochi Airport,meesapulimala,Meesapulimala,135,4.15 Hours
kochi-airport,Kochi Airport,ramakkalmedu,Ramakkalmedu,160,4.30 Hours
kochi-airport,Kochi Airport,idukki-dam,Idukki Dam,115,3.15 Hours
kochi-airport,Kochi Airport,cherai-beach,Cherai Beach,26,0.50 Hours
kochi-airport,Kochi Airport,kuzhupilly-beach,Kuzhupilly Beach,28,1.00 Hours
kochi-airport,Kochi Airport,andhakaranazhi-beach,Andhakaranazhi Beach,55,1.30 Hours
kochi-airport,Kochi Airport,alappuzha-beach,Alappuzha Beach,85,2.15 Hours
kochi-airport,Kochi Airport,kappad-beach,Kappad Beach,170,4.30 Hours
kochi-airport,Kochi Airport,muzhappilangad-beach,Muzhappilangad Beach,235,6.00 Hours
kochi-airport,Kochi Airport,bekal-beach,Bekal Beach,320,8.00 Hours
kochi-airport,Kochi Airport,ranipuram,Ranipuram,335,8.30 Hours
kochi-airport,Kochi Airport,paithalmala,Paithalmala,295,8.00 Hours
kochi-airport,Kochi Airport,gavi,Gavi Forest,165,5.00 Hours
kochi-airport,Kochi Airport,sabarimala,Sabarimala Pamba,160,4.30 Hours
kochi-airport,Kochi Airport,chottanikkara-temple,Chottanikkara Temple,40,1.10 Hours
kochi-airport,Kochi Airport,kaduthuruthy-temple,Kaduthuruthy Thaliyil Mahadeva Temple,55,1.20 Hours
kochi-airport,Kochi Airport,ambalappuzha-temple,Ambalappuzha Sri Krishna Temple,95,2.30 Hours
kochi-airport,Kochi Airport,mannarasala-temple,Mannarasala Nagaraja Temple,115,2.45 Hours
kochi-airport,Kochi Airport,chettikulangara-temple,Chettikulangara Devi Temple,125,3.00 Hours
kochi-airport,Kochi Airport,oachira-temple,Oachira Temple,135,3.15 Hours
kochi-airport,Kochi Airport,attukal-temple,Attukal Bhagavathy Temple,230,5.45 Hours
kochi-airport,Kochi Airport,padmanabhaswamy-temple,Sree Padmanabhaswamy Temple,230,5.45 Hours
kochi-airport,Kochi Airport,pazhavangadi-temple,Pazhavangadi Ganapathy Temple,230,5.45 Hours
kochi-airport,Kochi Airport,kottarakkara-ganapathy,Kottarakkara Sree Mahaganapathy Kshethram,160,4.00 Hours
kochi-airport,Kochi Airport,aranmula-temple,Aranmula Parthasarathy Temple,135,3.15 Hours
kochi-airport,Kochi Airport,malayattoor-church,Malayattoor Church,18,0.30 Hours
kochi-airport,Kochi Airport,edappally-church,Edappally St George Church,22,0.45 Hours
kochi-airport,Kochi Airport,vallarpadam-church,Vallarpadam Basilica,32,1.00 Hours
kochi-airport,Kochi Airport,arthunkal-church,Arthunkal Basilica,65,1.45 Hours
kochi-airport,Kochi Airport,bharananganam,Bharananganam St Alphonsa,80,2.15 Hours
kochi-airport,Kochi Airport,beemapally,Beemapally Trivandrum,235,6.00 Hours
kochi-airport,Kochi Airport,cheraman-masjid,Cheraman Juma Masjid,25,0.45 Hours
kochi-airport,Kochi Airport,vavar-mosque,Vavar Mosque Erumely,115,3.00 Hours
kochi-airport,Kochi Airport,thirunelli-temple,Thirunelli Temple,280,7.30 Hours
kochi-airport,Kochi Airport,rajarajeshwara-temple,Rajarajeshwara Temple Taliparamba,265,6.45 Hours
kochi-airport,Kochi Airport,parassinikadavu-muthappan,Parassinikadavu Muthappan Temple,260,6.30 Hours
kochi-airport,Kochi Airport,thiruvambadi-temple,Thiruvambadi Temple Thrissur,55,1.15 Hours
kochi-airport,Kochi Airport,paramekkavu-temple,Paramekkavu Temple Thrissur,55,1.15 Hours
kochi-airport,Kochi Airport,kodungallur-temple,Kodungallur Bhagavathy Temple,30,0.50 Hours
kochi-airport,Kochi Airport,thriprayar-temple,Thriprayar Sri Rama Temple,50,1.15 Hours
kochi-airport,Kochi Airport,aster-medcity,Aster Medcity Kochi,26,0.45 Hours
kochi-airport,Kochi Airport,amrita-hospital,Amrita Hospital Kochi,22,0.40 Hours
kochi-airport,Kochi Airport,rajagiri-hospital,Rajagiri Hospital Aluva,15,0.25 Hours
kochi-airport,Kochi Airport,lakeshore-hospital,Lakeshore Hospital Kochi,38,1.00 Hours
kochi-airport,Kochi Airport,apollo-adlux,Apollo Adlux Hospital Angamaly,10,0.15 Hours
kochi-airport,Kochi Airport,renai-medicity,Renai Medicity Kochi,25,0.50 Hours
kochi-airport,Kochi Airport,medical-trust,Medical Trust Hospital Kochi,32,1.00 Hours
kochi-airport,Kochi Airport,sunrise-hospital,Sunrise Hospital Kakkanad,26,0.50 Hours
kochi-airport,Kochi Airport,kims-kochi,KIMS Hospital Kochi,28,0.55 Hours
kochi-airport,Kochi Airport,lisie-hospital,Lisie Hospital Kochi,28,0.55 Hours
kochi-airport,Kochi Airport,lourdes-hospital,Lourdes Hospital Kochi,30,1.00 Hours
kochi-airport,Kochi Airport,caritas-hospital,Caritas Hospital Kottayam,85,2.10 Hours
kochi-airport,Kochi Airport,matha-hospital,Matha Hospital Kottayam,90,2.15 Hours
kochi-airport,Kochi Airport,believers-hospital,Believers Church Hospital Thiruvalla,115,3.00 Hours
kochi-airport,Kochi Airport,kims-trivandrum,KIMS Trivandrum,220,5.15 Hours
kochi-airport,Kochi Airport,ananthapuri-hospital,Ananthapuri Hospital Trivandrum,225,5.30 Hours
kochi-airport,Kochi Airport,rcc-trivandrum,RCC Trivandrum,225,5.30 Hours
kochi-airport,Kochi Airport,sree-chitra,Sree Chitra Trivandrum,225,5.30 Hours
kochi-airport,Kochi Airport,aster-mims-calicut,Aster MIMS Calicut,150,3.45 Hours
kochi-airport,Kochi Airport,baby-memorial,Baby Memorial Hospital Calicut,155,4.00 Hours
kochi-airport,Kochi Airport,meitra-hospital,Meitra Hospital Calicut,160,4.10 Hours
kochi-airport,Kochi Airport,amala-hospital,Amala Hospital Thrissur,60,1.20 Hours
kochi-airport,Kochi Airport,jubilee-mission,Jubilee Mission Thrissur,55,1.15 Hours
kochi-airport,Kochi Airport,elite-hospital,Elite Hospital Thrissur,55,1.15 Hours
kochi-airport,Kochi Airport,westfort-hospital,Westfort Hospital Thrissur,55,1.15 Hours
kochi-airport,Kochi Airport,grand-hyatt-bolgatty,Grand Hyatt Kochi Bolgatty,35,1.00 Hours
kochi-airport,Kochi Airport,taj-malabar,Taj Malabar Resort Willingdon Island,42,1.20 Hours
kochi-airport,Kochi Airport,crowne-plaza,Crowne Plaza Kochi,36,1.10 Hours
kochi-airport,Kochi Airport,le-meridien,Le Meridien Kochi,37,1.15 Hours
kochi-airport,Kochi Airport,ramada-resort,Ramada Resort Kochi,40,1.20 Hours
kochi-airport,Kochi Airport,marriott-edappally,Marriott Hotel Edappally,22,0.40 Hours
kochi-airport,Kochi Airport,novotel-kochi,Novotel Kochi Infopark,28,0.55 Hours
kochi-airport,Kochi Airport,holiday-inn-kochi,Holiday Inn Kochi,30,1.00 Hours
kochi-airport,Kochi Airport,radisson-blu-kochi,Radisson Blu Kochi,32,1.00 Hours
kochi-airport,Kochi Airport,courtyard-marriott-airport,Courtyard by Marriott Kochi Airport,1,0.05 Hours
kochi-airport,Kochi Airport,port-muziris,Port Muziris Kochi,1,0.05 Hours
kochi-airport,Kochi Airport,taj-kumarakom,Taj Kumarakom Resort,80,2.15 Hours
kochi-airport,Kochi Airport,kumarakom-lake-resort,Kumarakom Lake Resort,80,2.15 Hours
kochi-airport,Kochi Airport,zuri-kumarakom,Zuri Kumarakom Resort,80,2.15 Hours
kochi-airport,Kochi Airport,coconut-lagoon,Coconut Lagoon Kumarakom,80,2.15 Hours
kochi-airport,Kochi Airport,niraamaya-kumarakom,Niraamaya Retreats Kumarakom,80,2.15 Hours
kochi-airport,Kochi Airport,blanket-hotel-munnar,Blanket Hotel & Spa Munnar,105,3.15 Hours
kochi-airport,Kochi Airport,panoramic-getaway,The Panoramic Getaway Munnar,100,3.00 Hours
kochi-airport,Kochi Airport,chandys-windy-woods,Chandys Windy Woods Munnar,105,3.15 Hours
kochi-airport,Kochi Airport,elephant-court,Elephant Court Thekkady,144,4.15 Hours
kochi-airport,Kochi Airport,spice-village,Spice Village Thekkady,144,4.15 Hours
kochi-airport,Kochi Airport,niraamaya-thekkady,Niraamaya Retreats Cardamom Club,145,4.20 Hours
kochi-airport,Kochi Airport,taj-bekal,Taj Bekal Resort,320,8.00 Hours
kochi-airport,Kochi Airport,lalit-bekal,The Lalit Resort Bekal,325,8.15 Hours
kochi-airport,Kochi Airport,neeleshwar-hermitage,Neeleshwar Hermitage,310,7.45 Hours
kochi-airport,Kochi Airport,raviz-ashtamudi,The Raviz Ashtamudi Kollam,165,4.00 Hours
kochi-airport,Kochi Airport,fragrant-nature-kollam,Fragrant Nature Kollam,175,4.15 Hours
kochi-airport,Kochi Airport,taj-green-cove,Taj Green Cove Kovalam,240,6.00 Hours
kochi-airport,Kochi Airport,leela-raviz-kovalam,The Leela Raviz Kovalam,240,6.00 Hours
kochi-airport,Kochi Airport,niraamaya-kovalam,Niraamaya Retreats Surya Samudra,245,6.15 Hours
kochi-airport,Kochi Airport,carnoustie-resort,Carnoustie Ayurveda Resort Marari,70,1.50 Hours
kochi-airport,Kochi Airport,marari-beach-resort,Marari Beach Resort CGH,75,2.00 Hours
kochi-airport,Kochi Airport,xandari-pearl,Xandari Pearl Marari,75,2.00 Hours
kochi-airport,Kochi Airport,brunton-boatyard,Brunton Boatyard Fort Kochi,45,1.30 Hours
kochi-airport,Kochi Airport,eighth-bastion,Eighth Bastion Fort Kochi,45,1.30 Hours
kochi-airport,Kochi Airport,forte-kochi,Forte Kochi,45,1.30 Hours
kochi-airport,Kochi Airport,fragrant-nature-kochi,Fragrant Nature Kochi,45,1.30 Hours
kochi-airport,Kochi Airport,vythiri-resort,Vythiri Resort Wayanad,225,6.00 Hours
kochi-airport,Kochi Airport,windflower-wayanad,Windflower Resort Wayanad,235,6.15 Hours
kochi-airport,Kochi Airport,taj-wayanad,Taj Wayanad,250,6.45 Hours
kochi-airport,Kochi Airport,morickap-resort,Morickap Resort Wayanad,240,6.30 Hours
kochi-airport,Kochi Airport,lulu-mall,Lulu Mall Kochi,23,0.45 Hours
kochi-airport,Kochi Airport,centre-square-mall,Centre Square Mall Kochi,30,1.00 Hours
kochi-airport,Kochi Airport,oberon-mall,Oberon Mall Kochi,25,0.50 Hours
kochi-airport,Kochi Airport,forum-mall,Forum Mall Kochi,32,1.05 Hours
kochi-airport,Kochi Airport,infopark,Infopark Kakkanad,28,0.55 Hours
kochi-airport,Kochi Airport,smartcity,SmartCity Kochi,29,0.55 Hours
kochi-airport,Kochi Airport,technopark,Technopark Trivandrum,215,5.15 Hours
kochi-airport,Kochi Airport,cyberpark,Cyberpark Calicut,150,3.45 Hours
kochi-airport,Kochi Airport,cusat,Cochin University CUSAT,20,0.40 Hours
kochi-airport,Kochi Airport,rajagiri-college,Rajagiri College Kalamassery,19,0.40 Hours
kochi-airport,Kochi Airport,iim-kozhikode,IIM Kozhikode,165,4.15 Hours
kochi-airport,Kochi Airport,nit-calicut,NIT Calicut,170,4.30 Hours
kochi-airport,Kochi Airport,iiser-trivandrum,IISER Trivandrum,235,6.00 Hours
kochi-airport,Kochi Airport,coimbatore,Coimbatore,160,3.30 Hours
kochi-airport,Kochi Airport,madurai,Madurai,270,6.00 Hours
kochi-airport,Kochi Airport,bangalore,Bangalore,500,10.00 Hours
kochi-airport,Kochi Airport,mysore,Mysore,350,8.00 Hours
kochi-airport,Kochi Airport,ooty,Ooty,240,6.30 Hours
kochi-airport,Kochi Airport,kodaikanal,Kodaikanal,260,6.30 Hours
kochi-airport,Kochi Airport,salem,Salem,320,6.30 Hours
kochi-airport,Kochi Airport,tiruppur,Tiruppur,210,4.30 Hours
kochi-airport,Kochi Airport,erode,Erode,260,5.30 Hours
kochi-airport,Kochi Airport,mangalore,Mangalore,360,9.00 Hours
kochi-airport,Kochi Airport,kanyakumari,Kanyakumari,310,7.30 Hours
kochi-airport,Kochi Airport,nagercoil,Nagercoil,295,7.00 Hours
